time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-03T10:31:17.090Z,-30.5749,-178.006,10,5.4,mww,,55,1.327,0.69,us,us1000ja3d,2019-03-03T12:33:22.057Z,"127km NE of L'Esperance Rock, New Zealand",earthquake,6.5,1.8,0.073,18,reviewed,us,us
2019-03-02T20:21:51.550Z,-33.664,-72.6378,10.9,5.5,mww,,80,0.853,1.08,us,us1000j9yt,2019-03-03T21:35:45.181Z,"94km W of San Antonio, Chile",earthquake,2.4,3.9,0.062,25,reviewed,us,us
2019-03-02T19:46:20.770Z,18.6004,120.4262,14.75,5.6,mww,,81,4.24,1.2,us,us1000j9yd,2019-03-03T19:48:47.821Z,"21km NW of Davila, Philippines",earthquake,8.7,0.7,0.065,23,reviewed,us,us
2019-03-02T15:51:52.450Z,30.8757,142.1843,10,5.3,mww,,134,3.007,1.08,us,us1000j9wi,2019-03-02T18:55:14.040Z,"Izu Islands, Japan region",earthquake,7.2,1.9,0.061,26,reviewed,us,us
2019-03-02T03:22:52.600Z,41.9336,146.9481,10,6,mww,,32,2.827,0.79,us,us1000j9s1,2019-03-03T03:27:08.033Z,"191km SE of Nemuro, Japan",earthquake,7.6,1.8,0.063,24,reviewed,us,us
2019-03-02T02:17:23.360Z,-6.9926,155.7629,69.04,5.2,mww,,51,4.536,1,us,us1000j9r2,2019-03-02T19:10:29.040Z,"80km SSE of Panguna, Papua New Guinea",earthquake,8.1,6,0.071,19,reviewed,us,us
2019-03-01T22:43:25.440Z,-30.5629,-71.6703,13.56,5.2,mww,,70,0.114,0.71,us,us1000j9nk,2019-03-02T19:09:10.040Z,"45km W of Ovalle, Chile",earthquake,5.1,2.9,0.078,16,reviewed,us,us
2019-03-01T08:50:41.530Z,-14.6844,-70.1267,257.42,7,mww,,44,2.499,1,us,us1000j96d,2019-03-02T22:29:46.299Z,"27km NNE of Azangaro, Peru",earthquake,8.1,5.9,0.05,38,reviewed,us,us
2019-03-01T01:02:12.010Z,-53.4107,159.5408,10,5.8,mww,,80,1.143,1.19,us,us1000j92m,2019-03-02T01:05:17.310Z,"125km NNE of Macquarie Island, Australia",earthquake,7.4,1.8,0.073,18,reviewed,us,us
2019-03-01T01:00:41.460Z,5.0358,125.3797,181.47,5.2,mww,,66,2.03,1.43,us,us1000j92p,2019-03-01T01:36:49.040Z,"41km SSW of Sarangani, Philippines",earthquake,8.1,6.4,0.071,19,reviewed,us,us
2019-03-01T00:13:28.910Z,-28.2256,-63.2279,573.63,5.5,mww,,24,5.42,0.8,us,us1000j91e,2019-03-02T02:54:20.432Z,"37km SSE of Suncho Corral, Argentina",earthquake,8,4.2,0.047,43,reviewed,us,us
2019-02-28T19:55:34.110Z,-37.5115,179.1853,10,5.1,mb,,135,0.7,0.6,us,us1000j8w6,2019-02-28T21:32:02.020Z,"163km NE of Gisborne, New Zealand",earthquake,7.6,1.7,0.106,29,reviewed,us,us
2019-02-28T00:00:52.880Z,7.3004,94.4054,114.15,5,mb,,133,3.258,0.71,us,us1000j8e4,2019-02-28T00:18:58.040Z,"140km ESE of Mohean, India",earthquake,9.4,7.4,0.108,27,reviewed,us,us
2019-02-27T23:27:04.550Z,-1.301,101.6013,10,5.4,mww,,51,1.711,1.12,us,us1000j8dg,2019-02-28T23:28:51.345Z,"80km E of Surian, Indonesia",earthquake,6,1.9,0.059,28,reviewed,us,us
2019-02-27T06:28:14.690Z,-57.4035,-23.5992,10,5,mb,,74,7.898,0.94,us,us2000jpeu,2019-02-27T06:49:17.040Z,"232km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11,1.8,0.092,38,reviewed,us,us
2019-02-27T06:09:42.450Z,-6.6766,129.8114,165.79,5,mb,,98,1.964,0.79,us,us2000jpeq,2019-02-27T06:23:52.040Z,"217km NW of Saumlaki, Indonesia",earthquake,9.1,7.9,0.113,25,reviewed,us,us
2019-02-27T02:44:29.570Z,-49.535,-116.3888,10,5.1,mb,,119,33.065,0.67,us,us2000jpd9,2019-02-27T03:03:58.040Z,"Southern East Pacific Rise",earthquake,6.2,1.9,0.056,104,reviewed,us,us
2019-02-27T00:55:51.330Z,38.337,142.1576,29.06,5,mb,,136,1.175,0.82,us,us2000jpc3,2019-02-27T01:20:56.040Z,"75km E of Ishinomaki, Japan",earthquake,7.2,5.2,0.062,83,reviewed,us,us
2019-02-26T12:15:10.300Z,-4.0243,129.5624,114.57,5,mww,,47,2.897,0.84,us,us2000jnw3,2019-02-26T12:33:46.040Z,"104km SE of Amahai, Indonesia",earthquake,7,6,0.065,23,reviewed,us,us
2019-02-25T17:13:53.740Z,45.0185,147.8599,96.31,5,mww,,94,3.869,0.97,us,us2000jmwx,2019-02-25T17:33:07.040Z,"23km S of Kuril'sk, Russia",earthquake,9.2,6.2,0.071,19,reviewed,us,us
2019-02-25T15:28:42.110Z,-29.7727,-71.8094,10,5.3,mww,,97,0.516,0.96,us,us2000jmvn,2019-02-26T16:50:30.040Z,"49km WNW of Coquimbo, Chile",earthquake,4.7,1.7,0.075,17,reviewed,us,us
2019-02-25T15:05:33.200Z,4.3008,-32.615,10,5.6,mww,,52,10.582,0.78,us,us2000jmvf,2019-02-26T15:06:55.331Z,"Central Mid-Atlantic Ridge",earthquake,9.6,1.8,0.069,20,reviewed,us,us
2019-02-25T05:01:17.810Z,-4.4735,151.8763,158.87,5,mb,,87,0.4,1.04,us,us2000jmp6,2019-02-25T05:26:54.040Z,"44km SW of Rabaul, Papua New Guinea",earthquake,6.3,5.8,0.1,32,reviewed,us,us
2019-02-24T19:50:19.830Z,-10.594,165.7624,112.87,5.1,mb,,111,5.841,1.17,us,us2000jmij,2019-02-24T20:08:55.040Z,"15km NNW of Lata, Solomon Islands",earthquake,12,8,0.106,29,reviewed,us,us
2019-02-24T13:29:33.130Z,0.5031,122.1925,93.59,5.1,mww,,23,1.534,0.96,us,us2000jmet,2019-02-24T21:03:13.040Z,"17km W of Tilamuta, Indonesia",earthquake,6.4,4.5,0.071,19,reviewed,us,us
2019-02-24T06:00:32.010Z,-57.5997,157.617,10,5.5,mb,,84,3.198,0.89,us,us2000jmax,2019-02-25T22:16:38.040Z,"Macquarie Island region",earthquake,10.3,1.9,0.07,71,reviewed,us,us
2019-02-23T17:40:33.410Z,-9.7625,149.9259,8.74,5.1,mww,,34,5.964,0.97,us,us2000jm3c,2019-02-26T18:04:54.040Z,"82km NW of Alotau, Papua New Guinea",earthquake,7.8,3.5,0.078,16,reviewed,us,us
2019-02-23T12:14:39.080Z,-23.1279,-66.6469,204.22,5,mww,,31,1.422,1.39,us,us2000jm0c,2019-02-23T12:30:41.040Z,"98km W of El Aguilar, Argentina",earthquake,7.2,3.8,0.073,18,reviewed,us,us
2019-02-23T11:43:57.630Z,1.1099,128.2085,10,5,mww,,71,0.906,0.78,us,us2000jm06,2019-02-23T12:00:52.040Z,"71km SSE of Tobelo, Indonesia",earthquake,6.4,1.9,0.071,19,reviewed,us,us
2019-02-22T21:15:58.190Z,-17.8392,-13.5222,10,5.5,mww,,39,7.675,0.78,us,us2000jlsv,2019-02-26T16:51:31.040Z,"Southern Mid-Atlantic Ridge",earthquake,7.3,1.4,0.103,9,reviewed,us,us
2019-02-22T10:40:41.340Z,-2.2982,-79.733,82.13,5.5,mb,,108,0.503,0.85,us,us2000jlh2,2019-02-23T05:27:15.066Z,"15km SE of Duran, Ecuador",earthquake,9.6,2.6,0.029,415,reviewed,us,us
